iter	Passed	Remaining
0	1	582
1	3	664
2	5	749
3	7	698
4	7	631
5	9	638
6	11	671
7	15	770
8	17	752
9	19	767
10	21	767
11	23	759
12	25	756
13	27	749
14	28	732
15	30	720
16	31	711
17	32	700
18	34	690
19	35	682
20	37	676
21	38	666
22	39	648
23	40	642
24	42	636
25	44	635
26	45	629
27	46	623
28	48	617
29	49	611
30	51	607
31	52	606
32	54	601
33	55	596
34	56	593
35	58	588
36	60	588
37	61	587
38	63	585
39	64	582
40	66	580
41	67	578
42	68	572
43	69	565
44	71	560
45	72	560
46	74	557
47	75	554
48	76	550
49	78	549
50	79	546
51	81	542
52	82	541
53	84	539
54	85	536
55	86	533
56	88	530
57	89	528
58	107	618
59	108	616
60	110	613
61	112	614
62	115	616
63	117	618
64	120	621
65	123	624
66	125	624
67	128	626
68	130	626
69	132	626
70	135	626
71	137	625
72	139	623
73	141	623
74	143	620
75	145	621
76	148	621
77	150	620
78	151	615
79	153	613
80	155	611
81	157	610
82	160	612
83	162	610
84	164	607
85	166	608
86	168	607
87	173	613
88	174	610
89	177	611
90	179	610
91	182	611
92	185	613
93	187	610
94	189	607
95	190	604
96	192	599
97	194	597
98	196	596
99	198	595
100	201	596
101	203	593
102	204	589
103	206	587
104	208	586
105	210	584
106	213	585
107	216	586
108	219	585
109	221	584
110	224	584
111	226	583
112	229	581
113	230	579
114	232	576
115	235	575
116	237	574
117	239	573
118	243	575
119	245	573
120	248	572
121	251	572
122	253	571
123	256	570
124	258	569
125	261	569
126	264	569
127	266	566
128	268	564
129	272	565
130	275	565
131	276	561
132	277	557
133	279	554
134	280	550
135	284	552
136	286	550
137	289	549
138	291	548
139	293	545
140	295	542
141	297	541
142	300	539
143	302	538
144	305	536
145	307	534
146	309	532
147	312	531
148	314	530
149	317	529
150	319	527
151	322	525
152	324	523
153	327	523
154	340	538
155	344	538
156	346	537
157	349	535
158	359	545
159	362	544
160	365	542
161	372	546
162	376	547
163	379	546
164	386	549
165	388	547
166	391	546
167	394	545
168	397	543
169	401	542
170	404	541
171	407	539
172	409	537
173	412	535
174	415	534
175	416	530
176	418	527
177	419	523
178	421	520
179	422	516
180	424	513
181	426	510
182	428	507
183	430	505
184	433	503
185	435	501
186	437	498
187	439	495
188	440	492
189	443	489
190	445	487
191	447	484
192	448	481
193	450	478
194	452	475
195	454	473
196	456	470
197	458	468
198	461	465
199	463	463
200	465	460
201	467	458
202	470	456
203	472	454
204	475	452
205	477	449
206	478	446
207	480	443
208	482	440
209	484	438
210	486	435
211	487	432
212	489	429
213	491	427
214	493	424
215	495	421
216	496	419
217	498	416
218	500	413
219	501	410
220	502	407
221	504	404
222	506	401
223	507	399
224	510	396
225	512	394
226	513	391
227	515	388
228	516	386
229	518	383
230	520	380
231	522	378
232	524	375
233	525	373
234	527	370
235	529	367
236	531	365
237	533	363
238	535	361
239	538	359
240	541	357
241	543	354
242	545	352
243	548	350
244	550	348
245	553	346
246	556	344
247	558	342
248	560	339
249	561	337
250	563	334
251	565	331
252	567	329
253	569	327
254	571	325
255	573	322
256	576	320
257	580	319
258	583	317
259	585	315
260	588	313
261	589	310
262	591	308
263	593	305
264	595	303
265	597	301
266	599	298
267	601	296
268	603	293
269	605	291
270	606	288
271	608	286
272	610	284
273	612	281
274	614	279
275	617	277
276	619	274
277	621	272
278	623	270
279	625	268
280	627	265
281	629	263
282	630	260
283	632	258
284	634	255
285	635	253
286	637	251
287	639	248
288	641	246
289	642	243
290	643	241
291	645	238
292	647	236
293	649	234
294	650	231
295	652	229
296	654	226
297	655	224
298	657	222
299	658	219
300	660	217
301	662	214
302	664	212
303	665	210
304	667	207
305	668	205
306	670	203
307	672	200
308	674	198
309	676	196
310	677	194
311	679	191
312	681	189
313	683	187
314	685	185
315	687	182
316	689	180
317	691	178
318	692	175
319	695	173
320	697	171
321	699	169
322	702	167
323	704	165
324	706	163
325	708	160
326	710	158
327	712	156
328	714	154
329	717	152
330	720	150
331	722	147
332	724	145
333	726	143
334	727	141
335	731	139
336	733	137
337	735	134
338	737	132
339	739	130
340	741	128
341	747	126
342	749	124
343	751	122
344	753	120
345	757	118
346	759	116
347	762	113
348	765	111
349	768	109
350	771	107
351	773	105
352	776	103
353	778	101
354	780	98
355	781	96
356	783	94
357	785	92
358	788	90
359	790	87
360	791	85
361	793	83
362	794	81
363	796	78
364	798	76
365	800	74
366	802	72
367	803	69
368	805	67
369	807	65
370	808	63
371	810	61
372	812	58
373	814	56
374	816	54
375	818	52
376	820	50
377	822	47
378	825	45
379	827	43
380	829	41
381	831	39
382	834	37
383	836	34
384	838	32
385	843	30
386	845	28
387	847	26
388	849	24
389	851	21
390	854	19
391	857	17
392	859	15
393	861	13
394	863	10
395	865	8
396	867	6
397	869	4
398	870	2
399	872	0
