,month,year,course,enrolled
0,3,2013,AIARE 1,1
1,7,2017,AIARE 1,30
2,7,2017,AIARE 2,12
3,7,2017,Avalanche Rescue,29
4,8,2017,AIARE 1,63
5,8,2017,AIARE 2,15
6,8,2017,Avalanche Rescue,5
7,9,2017,AIARE 2,11
8,9,2017,Avalanche Rescue,8
9,11,2017,AIARE 1,95
10,11,2017,Avalanche Rescue,34
11,12,2017,AIARE 1,1768
12,12,2017,AIARE 2,47
13,12,2017,Avalanche Rescue,466
14,1,2018,AIARE 1,2549
15,1,2018,AIARE 2,142
16,1,2018,Avalanche Rescue,470
17,2,2018,AIARE 1,1804
18,2,2018,AIARE 2,167
19,2,2018,Avalanche Rescue,368
20,3,2018,AIARE 1,1110
21,3,2018,AIARE 2,145
22,3,2018,Avalanche Rescue,265
23,4,2018,AIARE 1,200
24,4,2018,AIARE 2,12
25,4,2018,Avalanche Rescue,80
26,5,2018,AIARE 2,6
27,6,2018,AIARE 1,6
28,6,2018,Avalanche Rescue,18
29,7,2018,AIARE 1,27
30,7,2018,AIARE 2,3
31,7,2018,Avalanche Rescue,12
32,8,2018,AIARE 1,70
33,8,2018,AIARE 2,13
34,8,2018,Avalanche Rescue,52
35,9,2018,AIARE 2,4
36,11,2018,AIARE 1,197
37,11,2018,Avalanche Rescue,20
38,12,2018,AIARE 1,1973
39,12,2018,AIARE 2,65
40,12,2018,Avalanche Rescue,611
41,1,2019,AIARE 1,2715
42,1,2019,AIARE 2,194
43,1,2019,Avalanche Rescue,741
44,2,2019,AIARE 1,2016
45,2,2019,AIARE 2,119
46,2,2019,Avalanche Rescue,370
47,3,2019,AIARE 1,1253
48,3,2019,AIARE 2,129
49,3,2019,Avalanche Rescue,280
50,4,2019,AIARE 1,332
51,4,2019,AIARE 2,7
52,4,2019,Avalanche Rescue,25
53,6,2019,Avalanche Rescue,8
54,7,2019,AIARE 1,11
55,7,2019,AIARE 2,5
56,7,2019,Avalanche Rescue,21
57,8,2019,AIARE 1,80
58,8,2019,AIARE 2,20
59,8,2019,Avalanche Rescue,65
60,9,2019,AIARE 1,1
61,9,2019,AIARE 2,1
62,9,2019,Avalanche Rescue,5
63,10,2019,AIARE 2,4
64,10,2019,Avalanche Rescue,8
65,11,2019,AIARE 1,156
66,11,2019,Avalanche Rescue,29
67,12,2019,AIARE 1,1915
68,12,2019,AIARE 2,96
69,12,2019,Avalanche Rescue,718
70,1,2020,AIARE 1,3530
71,1,2020,AIARE 2,295
72,1,2020,Avalanche Rescue,841
73,2,2020,AIARE 1,2189
74,2,2020,AIARE 2,181
75,2,2020,Avalanche Rescue,509
76,3,2020,AIARE 1,790
77,3,2020,AIARE 2,59
78,3,2020,Avalanche Rescue,190
79,4,2020,AIARE 1,11
80,4,2020,Avalanche Rescue,0
81,7,2020,AIARE 1,6
82,8,2020,AIARE 1,11
83,8,2020,Avalanche Rescue,30
84,9,2020,AIARE 1,13
85,9,2020,Avalanche Rescue,12
86,10,2020,AIARE 1,9
87,11,2020,AIARE 1,313
88,11,2020,AIARE 2,12
89,11,2020,Avalanche Rescue,46
90,12,2020,AIARE 1,3225
91,12,2020,AIARE 1 + Avalanche Rescue,0
92,12,2020,AIARE 2,81
93,12,2020,Avalanche Rescue,705
94,1,2021,AIARE 1,4701
95,1,2021,AIARE 2,311
96,1,2021,Avalanche Rescue,1072
97,2,2021,AIARE 1,3619
98,2,2021,AIARE 1 + Avalanche Rescue,11
99,2,2021,AIARE 2,309
100,2,2021,AIARE 2 + Avalanche Rescue,1
101,2,2021,Avalanche Rescue,776
102,3,2021,AIARE 1,2317
103,3,2021,AIARE 1 + Avalanche Rescue,13
104,3,2021,AIARE 2,185
105,3,2021,Avalanche Rescue,372
106,4,2021,AIARE 1,454
107,4,2021,AIARE 1 + Avalanche Rescue,8
108,4,2021,AIARE 2,20
109,4,2021,Avalanche Rescue,62
110,5,2021,Avalanche Rescue,3
111,7,2021,AIARE 1,9
112,7,2021,Avalanche Rescue,12
113,8,2021,AIARE 1,14
114,8,2021,Avalanche Rescue,16
115,9,2021,AIARE 1 + Avalanche Rescue,9
116,11,2021,AIARE 1,89
117,11,2021,AIARE 1 + Avalanche Rescue,4
118,11,2021,Avalanche Rescue,15
119,12,2021,AIARE 1,2226
120,12,2021,AIARE 1 + Avalanche Rescue,22
121,12,2021,AIARE 2,59
122,12,2021,AIARE 2 + Avalanche Rescue,7
123,12,2021,Avalanche Rescue,649
124,1,2022,AIARE 1,3811
125,1,2022,AIARE 1 + Avalanche Rescue,89
126,1,2022,AIARE 2,304
127,1,2022,AIARE 2 + Avalanche Rescue,9
128,1,2022,Avalanche Rescue,923
129,2,2022,AIARE 1,2751
130,2,2022,AIARE 1 + Avalanche Rescue,61
131,2,2022,AIARE 2,319
132,2,2022,AIARE 2 + Avalanche Rescue,24
133,2,2022,Avalanche Rescue,556
134,3,2022,AIARE 1,1719
135,3,2022,AIARE 1 + Avalanche Rescue,9
136,3,2022,AIARE 2,123
137,3,2022,AIARE 2 + Avalanche Rescue,30
138,3,2022,Avalanche Rescue,235
139,4,2022,AIARE 1,279
140,4,2022,AIARE 1 + Avalanche Rescue,6
141,4,2022,AIARE 2,28
142,4,2022,Avalanche Rescue,38
143,6,2022,Avalanche Rescue,1
144,7,2022,AIARE 1 + Avalanche Rescue,6
145,7,2022,Avalanche Rescue,6
146,8,2022,AIARE 1,12
147,8,2022,AIARE 1 + Avalanche Rescue,6
148,8,2022,AIARE 2,12
149,8,2022,Avalanche Rescue,13
150,9,2022,Avalanche Rescue,6
151,10,2022,AIARE 2,0
152,10,2022,Avalanche Rescue,4
153,11,2022,AIARE 1,138
154,11,2022,AIARE 1 + Avalanche Rescue,9
155,11,2022,AIARE 2,5
156,11,2022,AIARE 2 + Avalanche Rescue,5
157,11,2022,Avalanche Rescue,19
158,12,2022,AIARE 1,2236
159,12,2022,AIARE 1 + Avalanche Rescue,49
160,12,2022,AIARE 2,70
161,12,2022,AIARE 2 + Avalanche Rescue,15
162,12,2022,Avalanche Rescue,606
163,1,2023,AIARE 1,3592
164,1,2023,AIARE 1 + Avalanche Rescue,177
165,1,2023,AIARE 2,215
166,1,2023,AIARE 2 + Avalanche Rescue,10
167,1,2023,Avalanche Rescue,1037
168,2,2023,AIARE 1,2307
169,2,2023,AIARE 1 + Avalanche Rescue,101
170,2,2023,AIARE 2,292
171,2,2023,AIARE 2 + Avalanche Rescue,13
172,2,2023,Avalanche Rescue,417
173,3,2023,AIARE 1,1360
174,3,2023,AIARE 1 + Avalanche Rescue,23
175,3,2023,AIARE 2,136
176,3,2023,AIARE 2 + Avalanche Rescue,28
177,3,2023,Avalanche Rescue,221
178,4,2023,AIARE 1,351
179,4,2023,AIARE 1 + Avalanche Rescue,24
180,4,2023,AIARE 2,29
181,4,2023,Avalanche Rescue,72
182,5,2023,AIARE 1,18
183,5,2023,Avalanche Rescue,2
184,7,2023,Avalanche Rescue,24
185,8,2023,AIARE 1 + Avalanche Rescue,0
186,8,2023,Avalanche Rescue,32
187,9,2023,AIARE 1,5
188,11,2023,AIARE 1,73
189,11,2023,AIARE 1 + Avalanche Rescue,11
190,11,2023,Avalanche Rescue,16
191,12,2023,AIARE 1,1611
192,12,2023,AIARE 1 + Avalanche Rescue,34
193,12,2023,AIARE 2,46
194,12,2023,AIARE 2 + Avalanche Rescue,11
195,12,2023,Avalanche Rescue,487
