month,year,combined_course,enrolled,student_price,course
3,2013,aiare 1,1,325.0,AIARE 1
7,2017,aiare 1,30,391.6666666666667,AIARE 1
7,2017,aiare 2,12,197.5,AIARE 2
7,2017,avalanche rescue,29,107.5,Avalanche Rescue
8,2017,aiare 1,63,370.8333333333333,AIARE 1
8,2017,aiare 2,15,533.3333333333334,AIARE 2
8,2017,avalanche rescue,5,140.0,Avalanche Rescue
9,2017,aiare 2,11,195.5,AIARE 2
9,2017,avalanche rescue,8,145.0,Avalanche Rescue
11,2017,aiare 1,95,389.75,AIARE 1
11,2017,avalanche rescue,34,84.16666666666667,Avalanche Rescue
12,2017,aiare 1,1768,368.08053691275165,AIARE 1
12,2017,aiare 2,47,352.85714285714283,AIARE 2
12,2017,avalanche rescue,466,140.625,Avalanche Rescue
1,2018,aiare 1,2549,351.1004566210046,AIARE 1
1,2018,aiare 2,142,409.27272727272725,AIARE 2
1,2018,avalanche rescue,470,130.52238805970148,Avalanche Rescue
2,2018,aiare 1,1804,355.48333333333335,AIARE 1
2,2018,aiare 2,167,430.41379310344826,AIARE 2
2,2018,avalanche rescue,368,131.32835820895522,Avalanche Rescue
3,2018,aiare 1,1110,342.8376068376068,AIARE 1
3,2018,aiare 2,145,443.7391304347826,AIARE 2
3,2018,avalanche rescue,265,108.7948717948718,Avalanche Rescue
4,2018,aiare 1,200,43908.260869565216,AIARE 1
4,2018,aiare 2,12,400.0,AIARE 2
4,2018,avalanche rescue,80,212.91666666666666,Avalanche Rescue
5,2018,aiare 2,6,350.0,AIARE 2
6,2018,aiare 1,6,460.0,AIARE 1
6,2018,avalanche rescue,18,143.33333333333334,Avalanche Rescue
7,2018,aiare 1,27,446.0,AIARE 1
7,2018,aiare 2,3,460.0,AIARE 2
7,2018,avalanche rescue,12,140.0,Avalanche Rescue
8,2018,aiare 1,70,321.25,AIARE 1
8,2018,aiare 2,13,480.0,AIARE 2
8,2018,avalanche rescue,52,110.0,Avalanche Rescue
9,2018,aiare 2,4,0.0,AIARE 2
11,2018,aiare 1,197,416.3076923076923,AIARE 1
11,2018,avalanche rescue,20,133.75,Avalanche Rescue
12,2018,aiare 1,1973,11177.71511627907,AIARE 1
12,2018,aiare 2,65,39014.90909090909,AIARE 2
12,2018,avalanche rescue,611,155.26136363636363,Avalanche Rescue
1,2019,aiare 1,2715,2115.8204081632653,AIARE 1
1,2019,aiare 2,194,436.3636363636364,AIARE 2
1,2019,avalanche rescue,741,145.64356435643563,Avalanche Rescue
2,2019,aiare 1,2016,7922.185185185185,AIARE 1
2,2019,aiare 2,119,423.6521739130435,AIARE 2
2,2019,avalanche rescue,370,148.203125,Avalanche Rescue
3,2019,aiare 1,1253,4004.2916666666665,AIARE 1
3,2019,aiare 2,129,538.0,AIARE 2
3,2019,avalanche rescue,280,221.77358490566039,Avalanche Rescue
4,2019,aiare 1,332,396.1333333333333,AIARE 1
4,2019,aiare 2,7,416.3333333333333,AIARE 2
4,2019,avalanche rescue,25,199.2,Avalanche Rescue
6,2019,avalanche rescue,8,90000.0,Avalanche Rescue
7,2019,aiare 1,11,142.5,AIARE 1
7,2019,aiare 2,5,0.0,AIARE 2
7,2019,avalanche rescue,21,30000.0,Avalanche Rescue
8,2019,aiare 1,80,28807.0,AIARE 1
8,2019,aiare 2,20,292.5,AIARE 2
8,2019,avalanche rescue,65,8270.90909090909,Avalanche Rescue
9,2019,aiare 1,1,0.0,AIARE 1
9,2019,aiare 2,1,0.0,AIARE 2
9,2019,avalanche rescue,5,75.0,Avalanche Rescue
10,2019,aiare 2,4,430.0,AIARE 2
10,2019,avalanche rescue,8,130.0,Avalanche Rescue
11,2019,aiare 1,156,468.2307692307692,AIARE 1
11,2019,avalanche rescue,29,132.5,Avalanche Rescue
12,2019,aiare 1,1915,434.83815028901734,AIARE 1
12,2019,aiare 2,96,472.5,AIARE 2
12,2019,avalanche rescue,718,165.70454545454547,Avalanche Rescue
1,2020,aiare 1,3530,431.468438538206,AIARE 1
1,2020,aiare 2,295,459.625,AIARE 2
1,2020,avalanche rescue,841,153.5486725663717,Avalanche Rescue
2,2020,aiare 1,2189,406.8173076923077,AIARE 1
2,2020,aiare 2,181,455.2857142857143,AIARE 2
2,2020,avalanche rescue,509,2020.857142857143,Avalanche Rescue
3,2020,aiare 1,790,446.3421052631579,AIARE 1
3,2020,aiare 2,59,480.0,AIARE 2
3,2020,avalanche rescue,190,151.03333333333333,Avalanche Rescue
4,2020,aiare 1,11,450.0,AIARE 1
4,2020,avalanche rescue,0,175.0,Avalanche Rescue
7,2020,aiare 1,6,0.0,AIARE 1
8,2020,aiare 1,11,0.0,AIARE 1
8,2020,avalanche rescue,30,67500.0,Avalanche Rescue
