Course Type Name,Start Date,Enrolled,Student Price,Location,year,month,course,combined_course
Avalanche Rescue,2026-03-05,4,300.0,"Cottonwood Pass/ Tincup Pass, Colorado, United States",2026,3,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2024-02-17,4,435.0,"Fremont Pass, Colorado, United States",2024,2,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-05-17,2,280.0,"Mt. Baker, Washington, United States",2023,5,Avalanche Rescue,avalanche rescue
AIARE 1,2023-05-09,5,595.0,"Olympic Valley, California, United States",2023,5,AIARE 1,aiare 1
AIARE 1,2023-05-06,5,675.0,"Castle Peak, California, United States",2023,5,AIARE 1,aiare 1
AIARE 1,2023-05-06,8,575.0,"Mammoth Lakes, California, United States",2023,5,AIARE 1,aiare 1
AIARE 1,2023-05-02,0,595.0,"Olympic Valley, California, United States",2023,5,AIARE 1,aiare 1
AIARE 1,2023-04-29,12,525.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-29,10,685.0,"Olympic Valley, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-28,12,400.0,"Berthoud Pass, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-27,0,250.0,"Fremont Pass, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 2,2023-04-26,2,400.0,"Mt Rainier National Park, Washington, United States",2023,4,AIARE 2,aiare 2
Avalanche Rescue,2023-04-23,1,295.0,"Donner Summit, California, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-22,10,685.0,"Olympic Valley, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-22,13,585.0,"Bishop/Mammoth Lakes, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-22,3,550.0,"Snoqualmie Pass, Washington, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-22,7,500.0,"Rabbit Ears Pass, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-21,15,729.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-04-21,3,795.0,"Donner Summit, California, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-04-21,6,729.0,"Cameron Pass, 7 Utes Yurt, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 2,2023-04-21,5,999.0,"Cameron Pass, 7 Utes Yurt, Colorado, United States",2023,4,AIARE 2,aiare 2
Avalanche Rescue,2023-04-20,0,250.0,"Fremont Pass, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-04-20,1,900.0,"Wheeler Peak Wilderness, New Mexico, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
AIARE 1,2023-04-17,11,595.0,"Yosemite, California, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-16,5,279.0,"Rocky Mountain National Park, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-15,17,595.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-15,13,525.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-15,14,595.0,"Mammoth Lakes, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-15,12,729.0,"Frisco, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-14,15,729.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-14,0,595.0,"Summit County, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-14,8,490.0,"Kirkwood Mountain Resort, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-14,2,645.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-13,1,235.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1 + Avalanche Rescue,2023-04-13,2,880.0,"Vail Pass, Fremont Pass, and surrounding areas, Colorado, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-04-13,0,250.0,"Fremont Pass, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-12,0,600.0,"Lake City, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-12,0,595.0,"Monarch Pass/Hoosier Pass, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-12,5,595.0,"Hoosier Pass/Monarch Pass, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-04-11,6,795.0,"Donner Summit, California, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-04-10,0,295.0,"Donner Summit, California, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-09,7,279.0,"Rocky Mountain National Park, Colorado, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-09,0,225.0,"Bishop/Mammoth Lakes, California, United States",2023,4,Avalanche Rescue,avalanche rescue
Avalanche Rescue,2023-04-09,6,15.0,"Heavenly Ski Resort, California, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-09,8,595.0,"Estes Park, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,0,595.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,11,545.0,"Bishop/Mammoth Lakes, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,6,550.0,"Mt Washington, New Hampshire, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,6,595.0,"Donner Summit, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,0,600.0,"Crested Butte, Colorado, United States",2023,4,AIARE 1,aiare 1
AIARE 1,2023-04-08,6,595.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
Avalanche Rescue,2023-04-08,6,200.0,"Prival Big Cottonwood Canyon, Utah, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-07,6,675.0,"Olympic Valley, California, United States",2023,4,AIARE 1,aiare 1
AIARE 1 + Avalanche Rescue,2023-04-07,8,795.0,"Donner Summit, California, United States",2023,4,AIARE 1 + Avalanche Rescue,aiare 1
Avalanche Rescue,2023-04-07,0,295.0,"Donner Summit, California, United States",2023,4,Avalanche Rescue,avalanche rescue
AIARE 1,2023-04-07,9,729.0,"Rocky Mountain National Park, Colorado, United States",2023,4,AIARE 1,aiare 1
