year,month,combined_course,mean_student_price
2013,3,aiare 1,325.0
2017,11,aiare 1,445.43
2017,11,avalanche rescue,126.25
2017,12,aiare 1,412.55
2017,12,aiare 2,352.86
2017,12,avalanche rescue,155.18
2018,1,aiare 1,412.11
2018,1,aiare 2,409.27
2018,1,avalanche rescue,156.18
2018,2,aiare 1,413.4
2018,2,aiare 2,402.93
2018,2,avalanche rescue,160.45
2018,3,aiare 1,422.23
2018,3,aiare 2,365.64
2018,3,avalanche rescue,151.54
2018,4,aiare 1,455.0
2018,4,aiare 2,400.0
2018,4,avalanche rescue,178.64
2018,5,aiare 2,350.0
2018,8,aiare 1,400.0
2018,11,aiare 1,492.0
2018,11,avalanche rescue,178.33
2018,12,aiare 1,446.03
2018,12,aiare 2,368.9
2018,12,avalanche rescue,173.51
2019,1,aiare 1,445.38
2019,1,aiare 2,408.44
2019,1,avalanche rescue,171.25
2019,2,aiare 1,439.01
2019,2,aiare 2,377.57
2019,2,avalanche rescue,169.02
2019,3,aiare 1,444.85
2019,3,aiare 2,432.36
2019,3,avalanche rescue,179.86
2019,4,aiare 1,497.13
2019,4,aiare 2,416.33
2019,4,avalanche rescue,249.0
2019,11,aiare 1,507.25
2019,11,avalanche rescue,176.67
2019,12,aiare 1,464.89
2019,12,aiare 2,472.5
2019,12,avalanche rescue,185.09
2020,1,aiare 1,461.52
2020,1,aiare 2,445.77
2020,1,avalanche rescue,179.9
2020,2,aiare 1,458.49
2020,2,aiare 2,416.46
2020,2,avalanche rescue,182.45
2020,3,aiare 1,463.81
2020,3,aiare 2,480.0
2020,3,avalanche rescue,188.09
2020,4,aiare 1,450.0
2020,4,avalanche rescue,175.0
2020,11,aiare 1,519.24
2020,11,aiare 2,287.5
2020,11,avalanche rescue,199.8
2020,12,aiare 1,487.4
2020,12,aiare 2,510.4
2020,12,avalanche rescue,195.33
2021,1,aiare 1,473.61
2021,1,aiare 2,421.25
2021,1,avalanche rescue,177.95
2021,2,aiare 1,473.87
2021,2,aiare 2,443.96
2021,2,avalanche rescue,178.06
2021,3,aiare 1,465.24
2021,3,aiare 2,488.55
2021,3,avalanche rescue,185.6
2021,4,aiare 1,496.44
2021,4,aiare 2,550.4
2021,4,avalanche rescue,194.44
2021,5,avalanche rescue,175.0
2021,8,avalanche rescue,249.0
2021,11,aiare 1,595.56
2021,11,avalanche rescue,213.0
2021,12,aiare 1,531.12
2021,12,aiare 2,575.36
2021,12,avalanche rescue,203.98
2022,1,aiare 1,511.75
2022,1,aiare 2,546.49
2022,1,avalanche rescue,201.86
2022,2,aiare 1,513.73
2022,2,aiare 2,529.67
2022,2,avalanche rescue,207.01
2022,3,aiare 1,523.56
2022,3,aiare 2,508.76
2022,3,avalanche rescue,210.69
2022,4,aiare 1,567.91
2022,4,aiare 2,635.5
2022,4,avalanche rescue,221.0
2022,6,avalanche rescue,195.0
2022,11,aiare 1,620.67
2022,11,aiare 2,767.5
2022,11,avalanche rescue,219.83
2022,12,aiare 1,581.73
2022,12,aiare 2,644.71
2022,12,avalanche rescue,224.78
2023,1,aiare 1,555.16
2023,1,aiare 2,576.26
2023,1,avalanche rescue,215.12
2023,2,aiare 1,565.73
2023,2,aiare 2,606.71
2023,2,avalanche rescue,225.04
2023,3,aiare 1,577.15
2023,3,aiare 2,635.05
2023,3,avalanche rescue,227.84
2023,4,aiare 1,615.26
2023,4,aiare 2,694.5
2023,4,avalanche rescue,207.35
2023,5,aiare 1,610.0
2023,5,avalanche rescue,280.0
2023,11,aiare 1,607.87
2023,11,avalanche rescue,262.0
2023,12,aiare 1,602.61
2023,12,aiare 2,670.14
2023,12,avalanche rescue,227.46
2024,1,aiare 1,572.06
2024,1,aiare 2,620.52
2024,1,avalanche rescue,223.67
2024,2,aiare 1,584.22
2024,2,aiare 2,649.93
2024,2,avalanche rescue,229.0
2024,3,aiare 1,591.33
2024,3,aiare 2,669.29
2024,3,avalanche rescue,235.94
2024,4,aiare 1,615.07
2024,4,aiare 2,553.7
2024,4,avalanche rescue,224.0
2024,11,aiare 1,646.17
2024,11,avalanche rescue,287.86
2024,12,aiare 1,614.02
2024,12,aiare 2,666.47
2024,12,avalanche rescue,239.79
2025,1,aiare 1,604.17
2025,1,aiare 2,585.82
2025,1,avalanche rescue,235.86
2025,2,aiare 1,608.05
2025,2,aiare 2,638.97
2025,2,avalanche rescue,239.1
2025,3,aiare 1,619.05
2025,3,aiare 2,657.08
2025,3,avalanche rescue,247.03
2025,4,aiare 1,634.09
2025,4,aiare 2,711.75
2025,4,avalanche rescue,250.89
2025,5,aiare 1,600.0
2025,8,aiare 1,699.0
2025,10,aiare 1,695.0
2025,11,aiare 1,643.83
2025,11,avalanche rescue,237.6
2025,12,aiare 1,625.45
2025,12,aiare 2,687.35
2025,12,avalanche rescue,250.54
2026,1,aiare 1,605.36
2026,1,aiare 2,645.27
2026,1,avalanche rescue,239.57
2026,2,aiare 1,614.29
2026,2,aiare 2,683.45
2026,2,avalanche rescue,249.23
2026,3,aiare 1,618.42
2026,3,aiare 2,694.94
2026,3,avalanche rescue,256.16
2026,4,aiare 1,630.47
2026,4,avalanche rescue,262.29
2026,5,aiare 1,600.0
