month,year,combined_course,enrolled,num_students,mean_student_price
7,2017,aiare 1,30,30.0,
8,2017,aiare 1,63,66.0,
11,2017,aiare 1,95,97.0,445.43
12,2017,aiare 1,1768,1811.0,412.55
1,2018,aiare 1,2549,2600.0,412.11
2,2018,aiare 1,1804,1833.0,413.4
3,2018,aiare 1,1110,1124.0,422.23
4,2018,aiare 1,200,205.0,455.0
6,2018,aiare 1,6,6.0,
7,2018,aiare 1,27,27.0,
8,2018,aiare 1,70,72.0,400.0
11,2018,aiare 1,197,199.0,492.0
12,2018,aiare 1,1973,2002.0,446.03
1,2019,aiare 1,2715,2754.0,445.38
2,2019,aiare 1,2016,2029.0,439.01
3,2019,aiare 1,1253,1261.0,444.85
4,2019,aiare 1,332,335.0,497.13
7,2019,aiare 1,11,11.0,
8,2019,aiare 1,80,80.0,
9,2019,aiare 1,1,1.0,
11,2019,aiare 1,156,157.0,507.25
12,2019,aiare 1,1915,1937.0,464.89
1,2020,aiare 1,3530,3570.0,461.52
2,2020,aiare 1,2189,2219.0,458.49
3,2020,aiare 1,790,802.0,463.81
4,2020,aiare 1,11,11.0,450.0
7,2020,aiare 1,6,6.0,
8,2020,aiare 1,11,11.0,
9,2020,aiare 1,13,13.0,
10,2020,aiare 1,9,9.0,
11,2020,aiare 1,313,317.0,519.24
12,2020,aiare 1,3225,3265.0,487.4
1,2021,aiare 1,4701,4768.0,473.61
2,2021,aiare 1,3630,3670.0,473.87
3,2021,aiare 1,2330,2355.0,465.24
4,2021,aiare 1,462,463.0,496.44
7,2021,aiare 1,9,9.0,
8,2021,aiare 1,14,14.0,
9,2021,aiare 1,9,10.0,
11,2021,aiare 1,93,99.0,595.56
12,2021,aiare 1,2248,2308.0,531.12
1,2022,aiare 1,3900,3945.0,511.75
2,2022,aiare 1,2812,2841.0,513.73
3,2022,aiare 1,1728,1752.0,523.56
4,2022,aiare 1,285,288.0,567.91
7,2022,aiare 1,6,6.0,
8,2022,aiare 1,18,19.0,
11,2022,aiare 1,147,149.0,620.67
12,2022,aiare 1,2285,2327.0,581.73
1,2023,aiare 1,3769,3801.0,555.16
2,2023,aiare 1,2408,2431.0,565.73
3,2023,aiare 1,1383,1414.0,577.15
4,2023,aiare 1,375,378.0,615.26
5,2023,aiare 1,18,18.0,610.0
8,2023,aiare 1,0,,
9,2023,aiare 1,5,5.0,
11,2023,aiare 1,84,84.0,607.87
12,2023,aiare 1,1645,1671.0,602.61
1,2024,aiare 1,3016,3083.0,572.06
2,2024,aiare 1,2061,2107.0,584.22
3,2024,aiare 1,1203,1221.0,591.33
4,2024,aiare 1,229,229.0,615.07
7,2024,aiare 1,6,6.0,
8,2024,aiare 1,13,13.0,
11,2024,aiare 1,39,40.0,646.17
12,2024,aiare 1,1392,1418.0,614.02
1,2025,aiare 1,2980,3028.0,604.17
2,2025,aiare 1,1860,1891.0,608.05
3,2025,aiare 1,993,1004.0,619.05
4,2025,aiare 1,147,150.0,634.09
5,2025,aiare 1,11,11.0,600.0
8,2025,aiare 1,22,24.0,699.0
10,2025,aiare 1,0,,695.0
11,2025,aiare 1,0,,643.83
12,2025,aiare 1,778,792.0,625.45
1,2026,aiare 1,2764,2792.0,605.36
2,2026,aiare 1,1380,1341.0,614.29
3,2026,aiare 1,526,349.0,618.42
4,2026,aiare 1,0,,630.47
5,2026,aiare 1,0,,600.0
7,2017,aiare 2,12,12.0,
8,2017,aiare 2,15,16.0,
9,2017,aiare 2,11,11.0,
12,2017,aiare 2,47,49.0,352.86
1,2018,aiare 2,142,155.0,409.27
2,2018,aiare 2,167,173.0,402.93
3,2018,aiare 2,145,156.0,365.64
4,2018,aiare 2,12,13.0,400.0
5,2018,aiare 2,6,6.0,350.0
7,2018,aiare 2,3,4.0,
8,2018,aiare 2,13,14.0,
9,2018,aiare 2,4,4.0,
12,2018,aiare 2,65,70.0,368.9
1,2019,aiare 2,194,203.0,408.44
2,2019,aiare 2,119,127.0,377.57
3,2019,aiare 2,129,141.0,432.36
4,2019,aiare 2,7,7.0,416.33
7,2019,aiare 2,5,5.0,
8,2019,aiare 2,20,20.0,
9,2019,aiare 2,1,1.0,
10,2019,aiare 2,4,4.0,
12,2019,aiare 2,96,107.0,472.5
1,2020,aiare 2,295,315.0,445.77
2,2020,aiare 2,181,193.0,416.46
3,2020,aiare 2,59,63.0,480.0
11,2020,aiare 2,12,12.0,287.5
12,2020,aiare 2,81,84.0,510.4
1,2021,aiare 2,311,335.0,421.25
2,2021,aiare 2,310,327.0,443.96
3,2021,aiare 2,185,196.0,488.55
4,2021,aiare 2,20,22.0,550.4
12,2021,aiare 2,66,72.0,575.36
1,2022,aiare 2,313,323.0,546.49
2,2022,aiare 2,343,365.0,529.67
3,2022,aiare 2,153,168.0,508.76
