month,year,combined_course,enrolled,num_students,mean_student_price,date,covid_flag,cms_loss_flag,enso_outlook,unemployment_rate,cpi,gas_price,economic_pressure_index
7,2017,aiare 1,30,30.0,,2017-07-01,0,0,El Niño,4.3,244.243,2.2998,
7,2017,aiare 2,12,12.0,,2017-07-01,0,0,El Niño,4.3,244.243,2.2998,
7,2017,avalanche rescue,29,29.0,,2017-07-01,0,0,El Niño,4.3,244.243,2.2998,
8,2017,aiare 2,15,16.0,,2017-08-01,0,0,El Niño,4.4,245.183,2.38025,
8,2017,avalanche rescue,5,5.0,,2017-08-01,0,0,El Niño,4.4,245.183,2.38025,
8,2017,aiare 1,63,66.0,,2017-08-01,0,0,El Niño,4.4,245.183,2.38025,
9,2017,aiare 2,11,11.0,,2017-09-01,0,0,El Niño,4.3,246.435,2.64525,
9,2017,avalanche rescue,8,8.0,,2017-09-01,0,0,El Niño,4.3,246.435,2.64525,
11,2017,aiare 1,95,97.0,445.43,2017-11-01,0,0,El Niño,4.2,247.284,2.5635,
11,2017,avalanche rescue,34,34.0,126.25,2017-11-01,0,0,El Niño,4.2,247.284,2.5635,
12,2017,aiare 1,1768,1811.0,412.55,2017-12-01,0,0,El Niño,4.1,247.805,2.47675,
12,2017,aiare 2,47,49.0,352.86,2017-12-01,0,0,El Niño,4.1,247.805,2.47675,
12,2017,avalanche rescue,466,486.0,155.18,2017-12-01,0,0,El Niño,4.1,247.805,2.47675,
1,2018,aiare 2,142,155.0,409.27,2018-01-01,0,0,El Niño,4.0,248.859,2.5546,-2.7415483054578167
1,2018,avalanche rescue,470,491.0,156.18,2018-01-01,0,0,El Niño,4.0,248.859,2.5546,-2.7415483054578167
1,2018,aiare 1,2549,2600.0,412.11,2018-01-01,0,0,El Niño,4.0,248.859,2.5546,-2.7415483054578167
2,2018,avalanche rescue,368,381.0,160.45,2018-02-01,0,0,El Niño,4.1,249.529,2.58725,-2.82512824695315
2,2018,aiare 1,1804,1833.0,413.4,2018-02-01,0,0,El Niño,4.1,249.529,2.58725,-2.82512824695315
2,2018,aiare 2,167,173.0,402.93,2018-02-01,0,0,El Niño,4.1,249.529,2.58725,-2.82512824695315
3,2018,avalanche rescue,265,274.0,151.54,2018-03-01,0,0,El Niño,4.0,249.577,2.59125,-2.947339043166534
3,2018,aiare 1,1110,1124.0,422.23,2018-03-01,0,0,El Niño,4.0,249.577,2.59125,-2.947339043166534
3,2018,aiare 2,145,156.0,365.64,2018-03-01,0,0,El Niño,4.0,249.577,2.59125,-2.947339043166534
