,month,year,course,state,course_mode_of_travel,id_count
0,3,2013,AIARE 1,Colorado,Ski,1
1,2,2022,AIARE 1,Colorado,"Ski,Splitboard",1
2,7,2023,Avalanche Rescue,Other / International,"Ski,Splitboard",24
3,8,2023,Avalanche Rescue,Other / International,"Ski,Splitboard",20
4,8,2023,Avalanche Rescue,Other / International,"Snowshoe,Ski,Splitboard",12
5,9,2023,AIARE 1,Other / International,"Ski,Splitboard",5
6,11,2023,AIARE 1,Alaska,"Ski,Splitboard",9
7,11,2023,AIARE 1,Colorado,"Snowshoe,Ski,Splitboard",13
8,11,2023,AIARE 1,Washington,"Ski,Splitboard",24
9,11,2023,AIARE 1,Washington,"Snowshoe,Ski,Splitboard",27
10,11,2023,AIARE 1 + Avalanche Rescue,Colorado,"Snowshoe,Ski,Splitboard",11
11,11,2023,Avalanche Rescue,Colorado,"Snowshoe,Ski,Splitboard",17
12,12,2023,AIARE 1,California,"Lift-Assisted,Ski,Splitboard",16
13,12,2023,AIARE 1,California,"Ski,Splitboard",183
14,12,2023,AIARE 1,California,"Snowshoe,Ski,Splitboard",16
15,12,2023,AIARE 1,Colorado,Motorized,36
16,12,2023,AIARE 1,Colorado,"Ski,Splitboard",315
17,12,2023,AIARE 1,Colorado,Snowshoe,2
18,12,2023,AIARE 1,Colorado,"Snowshoe,Ski,Splitboard",164
19,12,2023,AIARE 1,Idaho,"Lift-Assisted,Snowshoe,Ski,Splitboard",17
20,12,2023,AIARE 1,Idaho,Motorized,20
21,12,2023,AIARE 1,Idaho,"Ski,Splitboard",38
22,12,2023,AIARE 1,Montana,"Ski,Splitboard",16
23,12,2023,AIARE 1,Montana,"Ski,Splitboard,Ice/Alpine Climb",6
24,12,2023,AIARE 1,New Hampshire,"Ski,Splitboard",11
25,12,2023,AIARE 1,New Hampshire,"Snowshoe,Ski,Splitboard",66
26,12,2023,AIARE 1,Oregon,"Ski,Splitboard",33
27,12,2023,AIARE 1,Oregon,"Snowshoe,Ski,Splitboard",24
28,12,2023,AIARE 1,Utah,"Lift-Assisted,Ski,Splitboard",16
29,12,2023,AIARE 1,Utah,"Ski,Splitboard",88
