month,year,combined_course,num_students
3,2013,aiare 1,1
7,2017,aiare 1,30
7,2017,aiare 2,12
7,2017,avalanche rescue,29
8,2017,aiare 1,66
8,2017,aiare 2,16
8,2017,avalanche rescue,5
9,2017,aiare 2,11
9,2017,avalanche rescue,8
11,2017,aiare 1,97
11,2017,avalanche rescue,34
12,2017,aiare 1,1811
12,2017,aiare 2,49
12,2017,avalanche rescue,486
1,2018,aiare 1,2600
1,2018,aiare 2,155
1,2018,avalanche rescue,491
2,2018,aiare 1,1833
2,2018,aiare 2,173
2,2018,avalanche rescue,381
3,2018,aiare 1,1124
3,2018,aiare 2,156
3,2018,avalanche rescue,274
4,2018,aiare 1,205
4,2018,aiare 2,13
4,2018,avalanche rescue,85
5,2018,aiare 2,6
6,2018,aiare 1,6
6,2018,avalanche rescue,18
7,2018,aiare 1,27
7,2018,aiare 2,4
7,2018,avalanche rescue,12
8,2018,aiare 1,72
8,2018,aiare 2,14
8,2018,avalanche rescue,54
9,2018,aiare 2,4
11,2018,aiare 1,199
11,2018,avalanche rescue,21
12,2018,aiare 1,2002
12,2018,aiare 2,70
12,2018,avalanche rescue,633
1,2019,aiare 1,2754
1,2019,aiare 2,203
1,2019,avalanche rescue,761
2,2019,aiare 1,2029
2,2019,aiare 2,127
2,2019,avalanche rescue,373
3,2019,aiare 1,1261
3,2019,aiare 2,141
3,2019,avalanche rescue,289
4,2019,aiare 1,335
4,2019,aiare 2,7
4,2019,avalanche rescue,25
6,2019,avalanche rescue,8
7,2019,aiare 1,11
7,2019,aiare 2,5
7,2019,avalanche rescue,21
8,2019,aiare 1,80
8,2019,aiare 2,20
8,2019,avalanche rescue,65
9,2019,aiare 1,1
9,2019,aiare 2,1
9,2019,avalanche rescue,5
10,2019,aiare 2,4
10,2019,avalanche rescue,8
11,2019,aiare 1,157
11,2019,avalanche rescue,29
12,2019,aiare 1,1937
12,2019,aiare 2,107
12,2019,avalanche rescue,730
1,2020,aiare 1,3570
1,2020,aiare 2,315
1,2020,avalanche rescue,858
2,2020,aiare 1,2219
2,2020,aiare 2,193
2,2020,avalanche rescue,525
3,2020,aiare 1,802
3,2020,aiare 2,63
3,2020,avalanche rescue,196
4,2020,aiare 1,11
7,2020,aiare 1,6
8,2020,aiare 1,11
8,2020,avalanche rescue,30
9,2020,aiare 1,13
9,2020,avalanche rescue,12
10,2020,aiare 1,9
11,2020,aiare 1,317
11,2020,aiare 2,12
11,2020,avalanche rescue,48
12,2020,aiare 1,3265
12,2020,aiare 2,84
12,2020,avalanche rescue,723
1,2021,aiare 1,4768
1,2021,aiare 2,335
1,2021,avalanche rescue,1095
2,2021,aiare 1,3670
2,2021,aiare 2,327
2,2021,avalanche rescue,796
3,2021,aiare 1,2355
3,2021,aiare 2,196
3,2021,avalanche rescue,378
4,2021,aiare 1,463
4,2021,aiare 2,22
4,2021,avalanche rescue,65
5,2021,avalanche rescue,3
7,2021,aiare 1,9
7,2021,avalanche rescue,12
8,2021,aiare 1,14
8,2021,avalanche rescue,16
9,2021,aiare 1,10
11,2021,aiare 1,99
11,2021,avalanche rescue,16
12,2021,aiare 1,2308
12,2021,aiare 2,72
12,2021,avalanche rescue,659
1,2022,aiare 1,3945
1,2022,aiare 2,323
1,2022,avalanche rescue,936
2,2022,aiare 1,2841
2,2022,aiare 2,365
2,2022,avalanche rescue,569
3,2022,aiare 1,1752
3,2022,aiare 2,168
3,2022,avalanche rescue,240
4,2022,aiare 1,288
4,2022,aiare 2,30
4,2022,avalanche rescue,40
6,2022,avalanche rescue,1
7,2022,aiare 1,6
7,2022,avalanche rescue,6
8,2022,aiare 1,19
8,2022,aiare 2,12
8,2022,avalanche rescue,13
9,2022,avalanche rescue,6
10,2022,avalanche rescue,4
11,2022,aiare 1,149
11,2022,aiare 2,11
11,2022,avalanche rescue,19
12,2022,aiare 1,2327
12,2022,aiare 2,96
12,2022,avalanche rescue,625
1,2023,aiare 1,3801
1,2023,aiare 2,243
1,2023,avalanche rescue,1078
2,2023,aiare 1,2431
2,2023,aiare 2,324
2,2023,avalanche rescue,432
3,2023,aiare 1,1414
3,2023,aiare 2,177
3,2023,avalanche rescue,230
4,2023,aiare 1,378
4,2023,aiare 2,31
4,2023,avalanche rescue,77
5,2023,aiare 1,18
5,2023,avalanche rescue,2
7,2023,avalanche rescue,24
8,2023,avalanche rescue,32
9,2023,aiare 1,5
11,2023,aiare 1,84
11,2023,avalanche rescue,17
12,2023,aiare 1,1671
12,2023,aiare 2,65
12,2023,avalanche rescue,505
1,2024,aiare 1,3083
1,2024,aiare 2,237
1,2024,avalanche rescue,752
2,2024,aiare 1,2107
2,2024,aiare 2,274
2,2024,avalanche rescue,453
3,2024,aiare 1,1221
3,2024,aiare 2,153
3,2024,avalanche rescue,209
4,2024,aiare 1,229
4,2024,aiare 2,34
4,2024,avalanche rescue,44
6,2024,avalanche rescue,6
7,2024,aiare 1,6
7,2024,avalanche rescue,7
8,2024,aiare 1,13
8,2024,avalanche rescue,6
11,2024,aiare 1,40
11,2024,avalanche rescue,15
12,2024,aiare 1,1418
12,2024,aiare 2,67
12,2024,avalanche rescue,465
1,2025,aiare 1,3028
1,2025,aiare 2,280
1,2025,avalanche rescue,675
2,2025,aiare 1,1891
2,2025,aiare 2,207
2,2025,avalanche rescue,378
3,2025,aiare 1,1004
3,2025,aiare 2,148
3,2025,avalanche rescue,182
4,2025,aiare 1,150
4,2025,aiare 2,30
4,2025,avalanche rescue,12
5,2025,aiare 1,11
5,2025,avalanche rescue,2
8,2025,aiare 1,24
8,2025,aiare 2,3
8,2025,avalanche rescue,2
12,2025,aiare 1,792
12,2025,aiare 2,22
12,2025,avalanche rescue,246
1,2026,aiare 1,2792
1,2026,aiare 2,164
1,2026,avalanche rescue,737
2,2026,aiare 1,1341
2,2026,aiare 2,162
2,2026,avalanche rescue,281
3,2026,aiare 1,349
3,2026,aiare 2,58
3,2026,avalanche rescue,78
