feature,importance_mean,importance_std
enrolled,1.2232262777196703,0.22053912426277206
num_students_seasonal_diff,0.24324241207069558,0.04182114039487614
num_students_lag_12,0.08803657431244774,0.013839195374357283
quarter_cos,0.000890940816766217,0.00010602361302871224
quarter_sin,0.0007585440015472789,8.45756950538562e-05
month_num,0.0006405921983977714,0.00010181684654562447
year_num,0.0004020227958045464,5.817484324301085e-05
is_fall,0.00038510573548400373,5.442548537269776e-05
cpi,0.00035650695334170645,3.602335420866515e-05
is_summer,0.00027257987400018945,2.9145226989872143e-05
is_spring,0.0002707305210692734,3.744902078137199e-05
num_students_lag_1,0.0002042631454155286,3.2096575187652565e-05
gas_price,0.00015246065905367702,2.0509225200373733e-05
num_students_lag_2,0.00013739626971206453,3.362279160683095e-05
is_winter,9.770378229428944e-05,1.6254220961261953e-05
month_cos,8.54226094906374e-05,1.6830287918481835e-05
economic_pressure_index,4.8007070241362636e-05,7.691633007337377e-06
unemployment_rate,2.0552306904231266e-05,4.69316074127943e-06
cms_loss_flag,2.0159136651620725e-05,4.006203266332934e-06
month_sin,2.0003160223602823e-05,5.017634287285457e-06
mean_student_price,1.0819037796572229e-05,4.401769480939102e-06
quarter,7.99372416971922e-06,2.6423196833901625e-06
num_students_roll_mean_3,7.160375796455565e-06,3.222113303182517e-06
covid_flag,3.6994245384169845e-06,2.788442572557319e-06
enso_outlook,1.1514370564569275e-06,1.07590946587987e-06
num_students_roll_mean_12,5.750353455624691e-08,7.124626225078402e-08
num_students_lag_3,-7.931920120718416e-09,4.9058298930104966e-08
