feature,importance_mean,importance_std
enrolled,2.046124978970064,0.26746564275746243
enso_outlook,1.9788970564205144e-05,5.9706659146037745e-06
num_students_lag_12,7.561558647006805e-06,4.962923505655652e-06
unemployment_rate,1.3113120239327537e-06,1.284452981676481e-06
cms_loss_flag,0.0,0.0
covid_flag,0.0,0.0
gas_price,0.0,0.0
economic_pressure_index,0.0,0.0
year_num,0.0,0.0
cpi,0.0,0.0
mean_student_price,0.0,0.0
quarter,0.0,0.0
month_num,0.0,0.0
month_sin,0.0,0.0
month_cos,0.0,0.0
is_winter,0.0,0.0
is_spring,0.0,0.0
quarter_sin,0.0,0.0
quarter_cos,0.0,0.0
is_fall,0.0,0.0
is_summer,0.0,0.0
num_students_lag_2,0.0,0.0
num_students_lag_1,0.0,0.0
num_students_lag_3,0.0,0.0
num_students_roll_mean_3,0.0,0.0
num_students_roll_mean_12,0.0,0.0
num_students_seasonal_diff,0.0,0.0
