date,combined_course,prediction,year,month
2026-06-01,aiare 1,179.46660336194077,2026,6
2026-07-01,aiare 1,73.22073822153652,2026,7
2026-08-01,aiare 1,48.718896178451814,2026,8
2026-09-01,aiare 1,47.061063122800306,2026,9
2026-10-01,aiare 1,118.14563782883465,2026,10
2026-11-01,aiare 1,114.86719797453111,2026,11
2026-12-01,aiare 1,274.51802549093793,2026,12
2027-01-01,aiare 1,700.5216186528645,2027,1
2027-02-01,aiare 1,382.10757905770765,2027,2
2027-03-01,aiare 1,165.5021632239459,2027,3
2027-04-01,aiare 1,133.64504272015074,2027,4
2027-05-01,aiare 1,126.68482298948425,2027,5
2026-05-01,aiare 2,1.1625536038630742,2026,5
2026-06-01,aiare 2,11.814829814681914,2026,6
2026-07-01,aiare 2,72.52108138116463,2026,7
2026-08-01,aiare 2,54.87018521645122,2026,8
2026-09-01,aiare 2,38.20964948905238,2026,9
2026-10-01,aiare 2,2.7938069058620556,2026,10
2026-11-01,aiare 2,0.0,2026,11
2026-12-01,aiare 2,4.256404791185403,2026,12
2027-01-01,aiare 2,41.12931539365424,2027,1
2027-02-01,aiare 2,38.218590182485826,2027,2
2027-03-01,aiare 2,8.586346360386187,2027,3
2027-04-01,aiare 2,10.792678931159685,2027,4
2026-05-01,avalanche rescue,140.25560923346643,2026,5
2026-06-01,avalanche rescue,70.54188083798476,2026,6
2026-07-01,avalanche rescue,26.22223141842133,2026,7
2026-08-01,avalanche rescue,0.0,2026,8
2026-09-01,avalanche rescue,0.0,2026,9
2026-10-01,avalanche rescue,0.0,2026,10
2026-11-01,avalanche rescue,2.407035431950135,2026,11
2026-12-01,avalanche rescue,56.35220634152796,2026,12
2027-01-01,avalanche rescue,175.17924431103035,2027,1
2027-02-01,avalanche rescue,68.26494240480781,2027,2
2027-03-01,avalanche rescue,11.639181307308633,2027,3
2027-04-01,avalanche rescue,0.0,2027,4
