course,model_family,mae,rmse,mape,asym_loss,n_preds,params_json,error
aiare 2,sarimax,20.078038020833148,34.955187113987115,33.987623586807395,33.83031663050377,126,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 0, 12]}",
aiare 2,sarimax,16.34285543510694,33.13460422944567,34.627490658281765,24.821084898178317,126,"{""order"": [1, 0, 1], ""seasonal_order"": [1, 1, 1, 12]}",
aiare 2,sarimax,16.47958152504455,34.26914870908307,35.02059177183734,24.52656133363424,126,"{""order"": [1, 0, 1], ""seasonal_order"": [0, 1, 1, 12]}",
aiare 2,seasonal_naive,14.801587301587302,31.093943676113735,35.860182692921796,22.063492063492063,126,{},
aiare 2,sarimax,16.488226200708095,33.63299658509283,36.51083850591254,23.96190469706018,126,"{""order"": [1, 0, 1], ""seasonal_order"": [1, 1, 0, 12]}",
aiare 2,sarimax,24.031274433270486,45.185873632814435,39.33566440867436,40.34750264742025,126,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 0, 12]}",
aiare 2,sarimax,19.635818382597083,34.90905094263913,39.70586690086385,32.450673408088896,126,"{""order"": [1, 1, 1], ""seasonal_order"": [0, 1, 1, 12]}",
aiare 2,sarimax,19.956288684720892,35.27428315923358,41.317613440395654,32.95662343808411,126,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12]}",
aiare 2,catboost,28.1657378783909,68.8138755906197,42.249313051175015,29.202296272149255,126,"{""depth"": 4, ""learning_rate"": 0.05, ""use_log"": true}",
aiare 2,sarimax,23.017213258779158,43.91056968344877,44.64421320201322,37.95516102835414,126,"{""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1, 12]}",
aiare 2,sarimax,23.04189917842205,44.80464120536712,44.78105210477214,38.625359635192574,126,"{""order"": [0, 1, 1], ""seasonal_order"": [1, 1, 1, 12]}",
aiare 2,elasticnet,27.764142094724853,62.682997211489344,45.78662637752337,29.04700058555825,126,"{""alpha"": 0.1, ""l1_ratio"": 0.5, ""use_log"": true}",
