date,actual,fitted_or_train_series
2017-07-01,12.0,12.0
2017-08-01,16.0,16.0
2017-09-01,11.0,11.0
2017-10-01,0.0,0.0
2017-11-01,0.0,0.0
2017-12-01,49.0,49.0
2018-01-01,155.0,155.0
2018-02-01,173.0,173.0
2018-03-01,156.0,156.0
2018-04-01,13.0,13.0
2018-05-01,6.0,6.0
2018-06-01,0.0,0.0
2018-07-01,4.0,12.0
2018-08-01,14.0,16.0
2018-09-01,4.0,11.0
2018-10-01,0.0,0.0
2018-11-01,0.0,0.0
2018-12-01,70.0,49.0
2019-01-01,203.0,155.0
2019-02-01,127.0,173.0
2019-03-01,141.0,156.0
2019-04-01,7.0,13.0
2019-05-01,0.0,6.0
2019-06-01,0.0,0.0
2019-07-01,5.0,4.0
2019-08-01,20.0,14.0
2019-09-01,1.0,4.0
2019-10-01,4.0,0.0
2019-11-01,0.0,0.0
2019-12-01,107.0,70.0
2020-01-01,315.0,203.0
2020-02-01,193.0,127.0
2020-03-01,63.0,141.0
2020-04-01,0.0,7.0
2020-05-01,0.0,0.0
2020-06-01,0.0,0.0
2020-07-01,0.0,5.0
2020-08-01,0.0,20.0
2020-09-01,0.0,1.0
2020-10-01,0.0,4.0
2020-11-01,12.0,0.0
2020-12-01,84.0,107.0
2021-01-01,335.0,315.0
2021-02-01,327.0,193.0
2021-03-01,196.0,63.0
2021-04-01,22.0,0.0
2021-05-01,0.0,0.0
2021-06-01,0.0,0.0
2021-07-01,0.0,0.0
2021-08-01,0.0,0.0
2021-09-01,0.0,0.0
2021-10-01,0.0,0.0
2021-11-01,0.0,12.0
2021-12-01,72.0,84.0
2022-01-01,323.0,335.0
2022-02-01,365.0,327.0
2022-03-01,168.0,196.0
2022-04-01,30.0,22.0
2022-05-01,0.0,0.0
2022-06-01,0.0,0.0
2022-07-01,0.0,0.0
2022-08-01,12.0,0.0
2022-09-01,0.0,0.0
2022-10-01,0.0,0.0
2022-11-01,11.0,0.0
2022-12-01,96.0,72.0
2023-01-01,243.0,323.0
2023-02-01,324.0,365.0
2023-03-01,177.0,168.0
2023-04-01,31.0,30.0
2023-05-01,0.0,0.0
2023-06-01,0.0,0.0
2023-07-01,0.0,0.0
2023-08-01,0.0,12.0
2023-09-01,0.0,0.0
2023-10-01,0.0,0.0
2023-11-01,0.0,11.0
2023-12-01,65.0,96.0
2024-01-01,237.0,243.0
2024-02-01,274.0,324.0
2024-03-01,153.0,177.0
2024-04-01,34.0,31.0
2024-05-01,0.0,0.0
2024-06-01,0.0,0.0
2024-07-01,0.0,0.0
2024-08-01,0.0,0.0
2024-09-01,0.0,0.0
2024-10-01,0.0,0.0
2024-11-01,0.0,0.0
2024-12-01,67.0,65.0
2025-01-01,280.0,237.0
2025-02-01,207.0,274.0
2025-03-01,148.0,153.0
2025-04-01,30.0,34.0
2025-05-01,0.0,0.0
2025-06-01,0.0,0.0
2025-07-01,0.0,0.0
2025-08-01,3.0,0.0
2025-09-01,0.0,0.0
2025-10-01,0.0,0.0
2025-11-01,0.0,0.0
2025-12-01,22.0,67.0
2026-01-01,164.0,280.0
2026-02-01,162.0,207.0
