date,combined_course,forecast_num_students,forecast_single_best,best_model_family,best_model_params,ensemble_n_models
2026-06-01,aiare 1,48.48567660375353,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2026-07-01,aiare 1,3.555616284275259,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2026-08-01,aiare 1,0.0,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2026-09-01,aiare 1,0.0,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2026-10-01,aiare 1,7.757708256600565,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2026-11-01,aiare 1,16.835504130977185,47.98143850317649,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2026-12-01,aiare 1,371.9934483556472,1060.186889979697,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2027-01-01,aiare 1,619.6042672100009,1765.8814260714864,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2027-02-01,aiare 1,974.420805929616,1159.7988014947828,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2027-03-01,aiare 1,2056.6184342508354,643.1048376908166,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2027-04-01,aiare 1,958.4379358447868,109.987154021079,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2027-05-01,aiare 1,286.59428906307267,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2027-06-01,aiare 1,48.48567660375353,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2027-07-01,aiare 1,3.555616284275259,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2027-08-01,aiare 1,0.0,0.0,prophet,"{""yearly_seasonality"": true, ""seasonality_mode"": ""multiplicative""}",3
2026-05-01,aiare 2,54.22325734303994,148.0,seasonal_naive,{},3
2026-06-01,aiare 2,13.162604701575306,30.0,seasonal_naive,{},3
2026-07-01,aiare 2,3.90567845355737,0.0,seasonal_naive,{},3
2026-08-01,aiare 2,6.383544599123114,0.0,seasonal_naive,{},3
2026-09-01,aiare 2,2.526603260709824,0.0,seasonal_naive,{},3
2026-10-01,aiare 2,3.4115136303024163,3.0,seasonal_naive,{},3
2026-11-01,aiare 2,5.997544567223425,0.0,seasonal_naive,{},3
2026-12-01,aiare 2,38.75668974444292,0.0,seasonal_naive,{},3
2027-01-01,aiare 2,143.9111942048649,0.0,seasonal_naive,{},3
2027-02-01,aiare 2,149.11067381649292,22.0,seasonal_naive,{},3
2027-03-01,aiare 2,163.09664955804072,164.0,seasonal_naive,{},3
2027-04-01,aiare 2,68.70043632892802,162.0,seasonal_naive,{},3
2027-05-01,aiare 2,54.21792868961065,148.0,seasonal_naive,{},3
2027-06-01,aiare 2,13.15736993899467,30.0,seasonal_naive,{},3
2027-07-01,aiare 2,3.813127174583122,0.0,seasonal_naive,{},3
2027-08-01,aiare 2,6.302457792954591,0.0,seasonal_naive,{},3
2026-05-01,avalanche rescue,44.80696421988839,4.783240364254239,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2026-06-01,avalanche rescue,5.559312167421849,4.903498668839147,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2026-07-01,avalanche rescue,6.980882520729397,12.022529478729496,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2026-08-01,avalanche rescue,10.738473718177609,18.29401656190212,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2026-09-01,avalanche rescue,2.365590056054033,4.609648624918581,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2026-10-01,avalanche rescue,2.406378666464542,3.855212865899058,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2026-11-01,avalanche rescue,12.03401067493683,17.71531607510147,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2026-12-01,avalanche rescue,311.0524448620861,431.3529513164375,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2027-01-01,avalanche rescue,533.1919581784465,826.9815044369777,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2027-02-01,avalanche rescue,359.7775280460477,443.427376887394,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2027-03-01,avalanche rescue,286.2449907329976,163.28163240865402,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2027-04-01,avalanche rescue,90.90131620899623,36.95524609404061,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2027-05-01,avalanche rescue,44.75714489574058,4.629034494522565,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2027-06-01,avalanche rescue,5.501578648928385,4.738009375270198,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2027-07-01,avalanche rescue,6.8462947426358856,11.63968497114448,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
2027-08-01,avalanche rescue,10.067348939146536,17.70047613739195,ridge,"{""alpha"": 10.0, ""use_log"": true}",4
