feature,importance_mean,importance_std
enrolled,1.1777116317255598,0.153753966370643
num_students_seasonal_diff,0.2178064045010169,0.024135847996203875
num_students_lag_12,0.11134958664449139,0.01423049809563523
quarter,0.0009473332250044986,0.00011338144159631334
gas_price,0.0005255467291588323,6.932085285717683e-05
is_winter,0.00045569523001393053,7.05423471907555e-05
cpi,0.00037960204663625154,3.656843620769422e-05
num_students_roll_mean_3,0.0003428454638043199,5.427067078722793e-05
year_num,0.00032518650924036053,6.27282684310823e-05
num_students_lag_3,0.0003061796303314268,4.1040789585885525e-05
economic_pressure_index,0.0002762991588187602,4.201804776939559e-05
quarter_cos,0.0002328645517817196,2.468062630251236e-05
month_sin,0.00016939925252174026,3.094612285279327e-05
enso_outlook,7.796508453505879e-05,1.2342882946499419e-05
is_fall,4.9158200420940104e-05,9.262757674960977e-06
num_students_roll_mean_12,2.30670469605454e-05,7.005674646017092e-06
month_cos,2.2672582137595042e-05,7.134669157977958e-06
num_students_lag_1,2.151279714278642e-05,4.2288663981636075e-06
unemployment_rate,1.9437245314879447e-05,6.452330522239718e-06
num_students_lag_2,1.815112914981265e-05,5.9286156385956425e-06
quarter_sin,9.197279333528208e-06,4.018809429021756e-06
is_summer,5.354233894860894e-06,4.302829697398834e-06
cms_loss_flag,3.1776653584558723e-06,3.5020970081382367e-06
mean_student_price,9.05378823579106e-08,7.984512242109293e-07
covid_flag,0.0,0.0
month_num,0.0,0.0
is_spring,0.0,0.0
